SysTime,Real_UAV_X,Real_UAV_Y,Real_UAV_Z,Real_Boat_X,Real_Boat_Y,Real_Boat_Z,Real_UAV_VZ,Real_Boat_VZ
1.77555e+09,1.1815,12.3114,3.06598,1.29756,12.9756,-0.880965,-0.0049993,1.62019e-05
1.77555e+09,1.1815,12.3114,3.06598,1.29756,12.9756,-0.880965,-0.0049993,1.62019e-05
1.77555e+09,1.1815,12.3114,3.06598,1.29756,12.9756,-0.880965,-0.0049993,1.62019e-05
1.77555e+09,1.1815,12.3114,3.06598,1.29756,12.9756,-0.880965,-0.0049993,1.62019e-05
1.77555e+09,1.1815,12.3114,3.06598,1.29756,12.9756,-0.880965,-0.0049993,1.62019e-05
1.77555e+09,1.1815,12.3114,3.06598,1.29756,12.9756,-0.880965,-0.0049993,1.62019e-05
1.77555e+09,1.43278,15.3113,3.06357,1.6528,16.528,0.977267,-0.000686491,1.02342e-05
1.77555e+09,1.43696,15.3382,3.06356,1.6541,16.541,0.977267,-0.000735574,1.02342e-05
1.77555e+09,1.44218,15.3716,3.06355,1.65544,16.5544,0.977268,-0.000797936,1.02342e-05
1.77555e+09,1.44738,15.4048,3.06354,1.65682,16.5682,0.977268,-0.000862128,1.02342e-05
1.77555e+09,1.45154,15.4311,3.06353,1.65845,16.5845,0.977268,-0.000913763,1.02342e-05
1.77555e+09,1.44674,14.0889,3.06007,1.45286,14.5286,-0.246463,0.000221446,-3.8024e-05
1.77555e+09,1.45021,14.1149,3.06008,1.45456,14.5456,-0.246463,0.000314388,-3.8024e-05
1.77555e+09,1.45219,14.1298,3.06008,1.45613,14.5613,-0.246464,0.000366258,-3.8024e-05
1.77555e+09,1.45414,14.1447,3.06009,1.45783,14.5783,-0.340488,0.000416897,-3.6983e-05
1.77555e+09,1.45595,14.1585,3.0601,1.45925,14.5925,-0.340488,0.000462888,-3.6983e-05
1.77555e+09,1.45761,14.1713,3.0601,1.46062,14.6062,-0.340489,0.000504367,-3.6983e-05
1.77555e+09,1.45888,14.1812,3.06011,1.46201,14.6201,-0.340489,0.000535401,-3.6983e-05
1.77555e+09,1.4614,14.2009,3.06012,1.46344,14.6344,-0.34049,0.000595543,-3.6983e-05
1.77555e+09,1.46301,14.2136,3.06013,1.46479,14.6479,-0.34049,0.000633493,-3.6983e-05
1.77555e+09,1.46486,14.2283,3.06014,1.4662,14.662,-0.340491,0.000675907,-3.6983e-05
1.77555e+09,1.46632,14.24,3.06014,1.46744,14.6744,-0.432748,0.000707487,-3.5685e-05
1.77555e+09,1.46814,14.2547,3.06016,1.46883,14.6883,-0.432748,0.000703934,-3.5685e-05
1.77555e+09,1.46933,14.2644,3.06016,1.47014,14.7014,-0.432749,0.000642474,-3.5685e-05
1.77555e+09,1.47111,14.279,3.06017,1.47148,14.7148,-0.432749,0.000441512,-3.5685e-05
1.77555e+09,1.47288,14.2935,3.06017,1.4728,14.728,-0.43275,6.44899e-05,-3.5685e-05
1.77555e+09,1.47439,14.3061,3.06017,1.47411,14.7411,-0.43275,-0.000449005,-3.5685e-05
1.77555e+09,1.47578,14.3177,3.06016,1.47546,14.7546,-0.432751,-0.00108255,-3.5685e-05
1.77555e+09,1.47749,14.3322,3.06014,1.477,14.77,-0.520221,-0.00209609,-3.43028e-05
1.77555e+09,1.47896,14.3448,3.06011,1.47832,14.7832,-0.520222,-0.00317547,-3.43028e-05
1.77555e+09,1.47919,14.3467,3.0601,1.4796,14.796,-0.520222,-0.00335814,-3.43028e-05
1.77555e+09,1.48142,14.3659,3.06001,1.48099,14.8099,-0.520223,-0.00542013,-3.43028e-05
1.77555e+09,1.48285,14.3784,3.05993,1.48235,14.8235,-0.520223,-0.0070325,-3.43028e-05
1.77555e+09,1.48449,14.3928,3.05981,1.48383,14.8383,-0.520224,-0.00915258,-3.43028e-05
1.77555e+09,1.48578,14.4042,3.05969,1.4851,14.851,-0.520224,-0.0110368,-3.43028e-05
1.77555e+09,1.48685,14.4138,3.05957,1.48641,14.8641,-0.520224,-0.0127289,-3.43028e-05
1.77555e+09,1.48685,14.4138,3.05957,1.48763,14.8763,-0.603237,-0.0127289,-3.18315e-05
1.77555e+09,1.49002,14.4423,3.05911,1.48916,14.8916,-0.603238,-0.0184249,-3.18315e-05
1.77555e+09,1.49157,14.4565,3.05881,1.49045,14.9045,-0.603238,-0.0216296,-3.18315e-05
1.77555e+09,1.49311,14.4707,3.05846,1.4918,14.918,-0.603239,-0.0250541,-3.18315e-05
1.77555e+09,1.49442,14.483,3.05811,1.49311,14.9311,-0.603239,-0.0281918,-3.18315e-05
1.77555e+09,1.49562,14.4943,3.05775,1.49448,14.9448,-0.60324,-0.0312231,-3.18315e-05
1.77555e+09,1.49612,14.499,3.05759,1.49574,14.9574,-0.60324,-0.0325218,-3.18315e-05
1.77555e+09,1.49809,14.5177,3.05689,1.49719,14.9719,-0.679941,-0.0378857,-2.98632e-05
1.77555e+09,1.49935,14.5299,3.05637,1.49848,14.9848,-0.679941,-0.0415592,-2.98632e-05
1.77555e+09,1.50051,14.541,3.05585,1.4997,14.997,-0.679941,-0.0450907,-2.98632e-05
1.77555e+09,1.50175,14.5531,3.05524,1.50098,15.0098,-0.679942,-0.0490622,-2.98632e-05
1.77555e+09,1.50288,14.5643,3.05463,1.50227,15.0227,-0.679942,-0.0528513,-2.98632e-05
1.77555e+09,1.50362,14.5717,3.0542,1.5037,15.037,-0.679943,-0.0554401,-2.98632e-05
1.77555e+09,1.50575,14.5929,3.05284,1.50527,15.0527,-0.679943,-0.063108,-2.98632e-05
1.77555e+09,1.50684,14.6039,3.05205,1.50683,15.0683,-0.749573,-0.0672638,-2.7359e-05
1.77555e+09,1.50819,14.6176,3.051,1.50815,15.0815,-0.749574,-0.0726246,-2.7359e-05
1.77555e+09,1.50935,14.6295,3.05003,1.50943,15.0943,-0.749574,-0.0773927,-2.7359e-05
1.77555e+09,1.5105,14.6413,3.04899,1.51082,15.1082,-0.749574,-0.0822646,-2.7359e-05
1.77555e+09,1.51129,14.6495,3.04824,1.51208,15.1208,-0.749575,-0.0856955,-2.7359e-05
1.77555e+09,1.51129,14.6495,3.04824,1.51357,15.1357,-0.749575,-0.0856955,-2.7359e-05
1.77555e+09,1.51414,14.6793,3.0452,1.51514,15.1514,-0.749576,-0.09865,-2.7359e-05
1.77555e+09,1.51524,14.691,3.04388,1.51644,15.1644,-0.811737,-0.103916,-2.43814e-05
1.77555e+09,1.51625,14.7017,3.0426,1.51774,15.1774,-0.811737,-0.108863,-2.43814e-05
1.77555e+09,1.51733,14.7133,3.04115,1.51904,15.1904,-0.811738,-0.114311,-2.43814e-05
1.77555e+09,1.51832,14.7239,3.03975,1.52034,15.2034,-0.811738,-0.119419,-2.43814e-05
1.77555e+09,1.51947,14.7363,3.03804,1.52182,15.2182,-0.811738,-0.125466,-2.43814e-05
