Time,UAV_X,UAV_Y,UAV_Z,Boat_X,Boat_Y,Boat_Z,Dist_XY,Dist_Z,Rel_Speed,Rel_VZ,Wave_Z,Success,Reason
1.77563e+09,0.561659,14.3129,0.688231,1.25732,22.5732,1.29767,8.28951,0.609443,0.999077,0.00179224,1.29767,0,True_Crash_Into_Sea
1.77563e+09,0.761815,16.5442,0.30506,0.880741,18.8074,0.917726,2.26632,0.612666,0.612298,0.566776,0.917726,0,True_Crash_Into_Sea
1.77563e+09,0.730565,16.2633,0.358376,0.846567,18.4657,0.959556,2.20544,0.60118,0.601699,0.531275,0.959556,0,True_Crash_Into_Sea
1.77563e+09,0.652895,15.7979,0.531081,0.835069,18.3507,1.134,2.55928,0.60292,0.690146,0.528951,1.134,0,True_Crash_Into_Sea
1.77563e+09,1.13624,19.8769,-0.749079,1.18768,21.8768,-0.122263,2.00056,0.626816,0.666592,0.663006,-0.122263,0,True_Crash_Into_Sea
1.77563e+09,0.760608,16.6483,0.586888,0.871648,18.7165,1.19795,2.07116,0.611064,0.378601,0.376551,1.19795,0,True_Crash_Into_Sea
1.77563e+09,0.930558,18.3127,-0.191921,1.01232,20.1232,0.435905,1.81229,0.627826,0.853247,0.729975,0.435905,0,True_Crash_Into_Sea
1.77563e+09,0.892834,17.8678,-0.63046,0.984089,19.8409,-0.0116823,1.97522,0.618778,0.998609,0.997866,-0.0116823,0,True_Crash_Into_Sea
1.77563e+09,0.488849,16.798,0.148303,1.04031,20.4031,0.784386,3.64704,0.636083,2.52766,1.87164,0.784386,0,True_Crash_Into_Sea
1.77563e+09,1.26279,22.0634,-0.780824,1.40071,24.0071,-0.178502,1.94864,0.602322,0.754981,0.676181,-0.178502,0,True_Crash_Into_Sea
1.77563e+09,1.15407,20.766,-0.434599,1.3007,23.007,0.181643,2.24576,0.616242,0.546996,0.372759,0.181643,0,True_Crash_Into_Sea
1.77563e+09,1.00929,19.1207,-0.287343,1.14414,21.4414,0.339297,2.3246,0.62664,0.673769,0.565851,0.339297,0,True_Crash_Into_Sea
1.77563e+09,0.889938,17.7847,-0.488886,0.954607,19.5461,0.123957,1.76253,0.612843,0.991683,0.990608,0.123957,0,True_Crash_Into_Sea
1.77563e+09,0.756679,16.7229,0.460556,0.877125,18.7712,1.06632,2.05184,0.605767,0.843003,0.838266,1.06632,0,True_Crash_Into_Sea
1.77563e+09,0.853636,17.4849,0.559658,0.964886,19.6489,1.17549,2.16681,0.615832,0.357391,0.357044,1.17549,0,True_Crash_Into_Sea
1.77563e+09,0.251391,18.4732,0.594401,1.07327,20.7327,1.20303,2.40434,0.608626,5.63464,4.81333,1.20303,0,True_Crash_Into_Sea
1.77563e+09,0.85267,17.5578,0.751422,0.957137,19.5714,1.36105,2.01625,0.609624,0.796531,0.733705,1.36105,0,True_Crash_Into_Sea
1.77563e+09,0.735599,16.1801,0.756927,0.834675,18.3467,1.36137,2.16891,0.604445,0.563331,0.519527,1.36137,0,True_Crash_Into_Sea
1.77564e+09,0.638722,15.7072,3.06253,0.649696,16.497,0.967967,0.789814,2.09456,0.126778,0.000233917,0.967967,0,Timeout_Fail
1.77564e+09,1.1803,21.0775,-0.613681,1.313,23.13,-0.000446758,2.05676,0.613234,0.725696,0.709885,-0.000446758,0,True_Crash_Into_Sea
1.77564e+09,0.854237,17.0795,0.0704136,0.910736,19.1074,0.696875,2.02864,0.626462,0.741356,0.680925,0.696875,0,True_Crash_Into_Sea
1.77564e+09,1.1743,20.9334,-0.870197,1.25126,22.5126,-0.24427,1.58114,0.625928,0.636057,0.627462,-0.24427,0,True_Crash_Into_Sea
1.77564e+09,0.804754,17.0815,-0.447886,0.982513,19.8251,0.180576,2.74938,0.628462,1.72847,0.0964771,0.180576,0,True_Crash_Into_Sea
1.77564e+09,1.13229,17.9876,0.732375,1.1234,21.234,1.3969,3.24647,0.664525,4.04936,3.87114,1.3969,0,True_Crash_Into_Sea
1.77564e+09,0.805917,16.6847,0.56819,1.48241,24.8241,1.176,8.16739,0.607808,1.00757,0.00414697,1.176,0,True_Crash_Into_Sea
1.77564e+09,1.03183,19.2388,-0.444135,1.14324,21.4324,0.165719,2.19634,0.609854,0.564442,0.509439,0.165719,0,True_Crash_Into_Sea
1.77564e+09,0.786268,16.9626,-0.23518,0.914436,19.1444,0.368694,2.18556,0.603874,0.706891,0.684933,0.368694,0,True_Crash_Into_Sea
1.77564e+09,0.98779,18.9453,-0.226976,1.11593,21.1593,0.398946,2.21769,0.625922,0.588502,0.525285,0.398946,0,True_Crash_Into_Sea
1.77564e+09,0.874949,17.7699,-0.279608,1.00145,20.0145,0.321718,2.24819,0.601326,0.455621,0.399869,0.321718,0,True_Crash_Into_Sea
1.77564e+09,1.052,19.7097,-0.528795,1.19456,21.9456,0.0712625,2.24041,0.600058,0.563562,0.427765,0.0712625,0,True_Crash_Into_Sea
1.77564e+09,1.00729,19.0422,0.789349,1.08319,20.8319,1.38976,1.79135,0.600408,0.591714,0.495197,1.38976,0,True_Crash_Into_Sea
1.77564e+09,0.760071,16.6362,0.505564,0.855695,18.5569,1.11585,1.92308,0.610282,0.68614,0.67387,1.11585,0,True_Crash_Into_Sea
1.77564e+09,1.03244,19.268,0.11737,1.12281,21.2281,0.717611,1.96215,0.600241,0.873863,0.809424,0.717611,0,True_Crash_Into_Sea
1.77564e+09,0.851225,17.0731,-0.17368,0.892665,18.9267,0.427783,1.85401,0.601463,0.81961,0.711218,0.427783,0,True_Crash_Into_Sea
1.77564e+09,0.643785,15.8009,0.27309,0.86161,18.6161,0.885842,2.82362,0.612752,0.792938,0.603572,0.885842,0,True_Crash_Into_Sea
1.77564e+09,1.11594,20.0926,-0.2054,1.19414,21.9414,0.397948,1.85045,0.603348,1.04609,1.03936,0.397948,0,True_Crash_Into_Sea
1.77564e+09,1.098,19.9403,-0.244723,1.20169,22.0169,0.386885,2.07916,0.631609,0.759872,0.757172,0.386885,0,True_Crash_Into_Sea
1.77564e+09,0.607934,14.5873,-0.273847,0.87149,18.7149,0.337966,4.136,0.611814,0.652598,0.594388,0.337966,0,True_Crash_Into_Sea
1.77564e+09,1.18794,20.7618,-0.764207,1.28884,22.8884,-0.151979,2.12897,0.612228,0.870411,0.708711,-0.151979,0,True_Crash_Into_Sea
1.77564e+09,0.791036,16.6888,0.733685,0.866068,18.6607,1.33947,1.97335,0.60578,0.887636,0.838932,1.33947,0,True_Crash_Into_Sea
1.77564e+09,1.0362,19.4855,-0.223055,1.16548,21.6548,0.391799,2.17314,0.614854,0.518824,0.379874,0.391799,0,True_Crash_Into_Sea
1.77564e+09,1.18386,20.6026,-0.436265,1.23939,22.3939,0.19489,1.79211,0.631155,0.576518,0.574716,0.19489,0,True_Crash_Into_Sea
1.77564e+09,1.03601,19.4192,-0.144142,1.14987,21.4987,0.468865,2.0827,0.613007,0.501767,0.347132,0.468865,0,True_Crash_Into_Sea
1.77564e+09,0.882429,17.6794,-0.337489,0.939694,19.3969,0.264707,1.71848,0.602196,0.63047,0.613065,0.264707,0,True_Crash_Into_Sea
1.77564e+09,1.32721,22.4374,-0.551895,1.43003,24.3003,0.0614089,1.86573,0.613304,0.665704,0.615385,0.0614089,0,True_Crash_Into_Sea
1.77564e+09,0.753173,16.0438,0.755024,0.870224,18.7022,1.35847,2.66099,0.603449,1.16309,1.019,1.35847,0,True_Crash_Into_Sea
1.77564e+09,0.980152,18.4397,-0.0645468,1.02397,20.2397,0.558263,1.80056,0.622809,0.878583,0.700504,0.558263,0,True_Crash_Into_Sea
1.77564e+09,0.97105,18.6151,-0.385382,1.05851,20.5851,0.221298,1.97199,0.60668,0.675549,0.653804,0.221298,0,True_Crash_Into_Sea
1.77564e+09,0.996967,18.9097,-0.674702,1.05789,20.5789,-0.0409819,1.67024,0.63372,0.709316,0.691999,-0.0409819,0,True_Crash_Into_Sea
1.77564e+09,1.06421,19.5709,-0.725003,1.16582,21.6582,-0.108642,2.08971,0.616361,0.688894,0.505926,-0.108642,0,True_Crash_Into_Sea
1.77564e+09,1.08928,19.686,-0.692057,1.13778,21.3778,-0.0598832,1.69258,0.632174,0.569555,0.563927,-0.0598832,0,True_Crash_Into_Sea
1.77564e+09,1.21704,21.2435,-0.613195,1.30482,23.0482,0.00249437,1.80682,0.61569,0.828355,0.804827,0.00249437,0,True_Crash_Into_Sea
1.77564e+09,1.28481,21.6902,-0.552205,1.36101,23.6101,0.0755168,1.92144,0.627722,0.99031,0.958498,0.0755168,0,True_Crash_Into_Sea
1.77564e+09,0.761784,16.8284,3.06252,0.752223,17.5222,-0.184721,0.693881,3.24724,0.0941664,2.25381e-05,-0.184721,0,Timeout_Fail
1.77564e+09,0.473985,14.417,0.21046,0.779118,17.7912,0.827921,3.38799,0.617461,0.714935,0.714157,0.827921,0,True_Crash_Into_Sea
1.77564e+09,0.638893,15.7087,3.06251,0.642628,16.4263,1.27412,0.717541,1.78838,0.103101,0.000140375,1.27412,0,Timeout_Fail
1.77564e+09,1.04807,19.5399,-0.882327,1.11189,21.1189,-0.265176,1.58027,0.617151,0.564886,0.554721,-0.265176,0,True_Crash_Into_Sea
1.77564e+09,1.04011,19.2416,-0.63335,1.1044,21.044,-0.0056605,1.8036,0.627689,0.999787,0.973447,-0.0056605,0,True_Crash_Into_Sea
1.77564e+09,1.13498,20.1528,-0.120778,1.20515,22.0515,0.493204,1.90001,0.613982,0.944843,0.932264,0.493204,0,True_Crash_Into_Sea
1.77564e+09,0.747969,16.4412,0.738296,0.815141,18.1514,1.3511,1.71155,0.6128,0.626042,0.623812,1.3511,0,True_Crash_Into_Sea
1.77564e+09,0.639261,16.0742,3.06242,0.682984,16.8298,1.37643,0.756897,1.68599,0.0997783,0.000785412,1.37643,0,Timeout_Fail
1.77564e+09,0.676629,15.0641,-0.838094,1.31311,23.1311,-0.216945,8.09201,0.621149,1.00336,0.0219535,-0.216945,0,True_Crash_Into_Sea
1.77564e+09,0.717796,16.5233,-0.41467,0.998372,19.9837,0.215628,3.47182,0.630298,0.81655,0.702662,0.215628,0,True_Crash_Into_Sea
1.77564e+09,1.20019,20.7534,-0.371551,1.28127,22.8127,0.25955,2.06091,0.631102,1.0465,1.01503,0.25955,0,True_Crash_Into_Sea
1.77564e+09,0.845322,17.0544,0.590039,0.89468,18.9468,1.21219,1.89301,0.622147,1.02403,1.01164,1.21219,0,True_Crash_Into_Sea
1.77564e+09,1.0108,19.2658,-0.064332,1.16038,21.6038,0.536151,2.34284,0.600483,0.457883,0.410964,0.536151,0,True_Crash_Into_Sea
1.77564e+09,0.964335,20.9058,-0.515499,1.26919,22.6919,0.105774,1.81189,0.621273,1.85171,1.74193,0.105774,0,True_Crash_Into_Sea
1.77564e+09,0.76127,16.6969,3.06253,0.742865,17.4287,-0.591499,0.73197,3.65403,0.087266,6.88804e-05,-0.591499,0,Timeout_Fail
1.77564e+09,1.01007,18.9998,-0.841294,1.05324,20.5324,-0.238748,1.5332,0.602546,0.696809,0.678286,-0.238748,0,True_Crash_Into_Sea
1.77564e+09,0.85547,17.2458,0.13543,0.951044,19.5104,0.742291,2.26666,0.606862,0.85068,0.816144,0.742291,0,True_Crash_Into_Sea
1.77564e+09,0.947901,18.6056,-0.963755,1.05374,20.5374,-0.338952,1.93461,0.624803,0.682893,0.543763,-0.338952,0,True_Crash_Into_Sea
1.77564e+09,1.22006,21.0049,-0.373661,1.27729,22.7729,0.236741,1.76891,0.610403,0.746887,0.698369,0.236741,0,True_Crash_Into_Sea
1.77564e+09,0.775556,16.336,0.811548,0.853798,18.538,1.41402,2.20335,0.602471,0.366815,0.249823,1.41402,0,True_Crash_Into_Sea
1.77564e+09,1.1137,19.943,-0.282303,1.19939,21.9939,0.318915,2.0526,0.601217,0.70252,0.65931,0.318915,0,True_Crash_Into_Sea
1.77564e+09,1.02452,17.8952,-0.725378,1.19362,21.9362,-0.116313,4.04454,0.609066,1.16681,0.150513,-0.116313,0,True_Crash_Into_Sea
1.77564e+09,0.907357,18.1049,0.593642,1.00312,20.0312,1.1972,1.92862,0.603561,0.574125,0.508222,1.1972,0,True_Crash_Into_Sea
1.77564e+09,1.00854,18.6304,-0.475359,1.04244,20.4244,0.143504,1.79438,0.618863,0.964094,0.958726,0.143504,0,True_Crash_Into_Sea
1.77564e+09,0.781395,16.7468,-0.0834355,0.894795,18.9479,0.541691,2.20407,0.625126,0.477576,0.35312,0.541691,0,True_Crash_Into_Sea
1.77564e+09,0.907883,17.9303,-0.388834,0.998599,19.986,0.230101,2.0577,0.618935,0.614391,0.485887,0.230101,0,True_Crash_Into_Sea
1.77564e+09,1.01841,19.8281,-0.353844,1.22293,22.2293,0.250186,2.40991,0.60403,0.418074,0.349399,0.250186,0,True_Crash_Into_Sea
1.77564e+09,1.34052,22.1087,-0.407237,1.40657,24.0657,0.215748,1.95819,0.622985,0.975916,0.947168,0.215748,0,True_Crash_Into_Sea
1.77564e+09,-0.0357924,15.2865,-0.457201,1.29905,22.9905,0.20803,7.81882,0.665231,8.5808,5.19655,0.20803,0,True_Crash_Into_Sea
1.77564e+09,1.12947,20.2195,-0.430794,1.25513,22.5513,0.195519,2.33512,0.626313,0.963952,0.72609,0.195519,0,True_Crash_Into_Sea
1.77564e+09,1.1259,20.5548,-0.359818,1.27402,22.7402,0.241351,2.1905,0.601169,0.461306,0.358534,0.241351,0,True_Crash_Into_Sea
1.77564e+09,0.836644,17.0461,0.663424,0.925101,19.251,1.27648,2.20672,0.613057,0.858578,0.845691,1.27648,0,True_Crash_Into_Sea
1.77564e+09,1.15438,20.3216,-0.727928,1.21198,22.1198,-0.113562,1.79914,0.614365,0.993607,0.979577,-0.113562,0,True_Crash_Into_Sea
1.77564e+09,1.02008,19.2836,-0.446266,1.09958,20.9958,0.174811,1.71407,0.621078,0.856935,0.841895,0.174811,0,True_Crash_Into_Sea
1.77564e+09,0.896342,18.3055,-0.425284,1.04246,20.4246,0.182257,2.12408,0.607541,0.658958,0.627493,0.182257,0,True_Crash_Into_Sea
1.77564e+09,0.858319,18.2245,-0.2074,1.05859,20.5859,0.41488,2.3699,0.62228,0.532213,0.413076,0.41488,0,True_Crash_Into_Sea
1.77564e+09,1.17459,20.6978,-0.620575,1.33491,23.3491,0.00217241,2.65616,0.622747,0.595827,0.488473,0.00217241,0,True_Crash_Into_Sea
1.77564e+09,0.744149,16.3788,0.329405,0.849361,18.4936,0.947359,2.11738,0.617954,0.744894,0.729055,0.947359,0,True_Crash_Into_Sea
1.77564e+09,1.13339,20.2495,-0.568307,1.19538,21.9538,0.0371341,1.70542,0.605441,0.744349,0.68403,0.0371341,0,True_Crash_Into_Sea
1.77564e+09,0.5898,16.6333,0.336586,1.0396,20.396,0.941869,3.78955,0.605283,2.16128,1.75734,0.941869,0,True_Crash_Into_Sea
1.77564e+09,1.16718,21.0987,-0.444285,1.32042,23.2042,0.167062,2.11104,0.611347,0.654467,0.613019,0.167062,0,True_Crash_Into_Sea
1.77564e+09,0.738172,16.0442,0.337746,0.813646,18.1365,0.943148,2.09361,0.605402,0.864565,0.831204,0.943148,0,True_Crash_Into_Sea
1.77564e+09,1.19199,20.898,-0.34808,1.32454,23.2454,0.265059,2.35119,0.613139,0.5127,0.323636,0.265059,0,True_Crash_Into_Sea
1.77564e+09,1.04019,19.3641,-0.218905,1.15422,21.5422,0.407476,2.18114,0.626381,0.575493,0.554006,0.407476,0,True_Crash_Into_Sea
1.77564e+09,0.918018,17.8503,-0.179431,1.00656,20.0656,0.422296,2.21711,0.601727,0.563424,0.319093,0.422296,0,True_Crash_Into_Sea
1.77564e+09,1.0035,18.9071,0.205437,1.08846,20.8846,0.833349,1.9793,0.627912,0.903085,0.87368,0.833349,0,True_Crash_Into_Sea
1.77563e+09,0.730565,16.2633,0.358376,0.846567,18.4657,0.959556,2.20544,0.60118,0.601699,0.531275,0.959556,0,True_Crash_Into_Sea
