Time,UAV_X,UAV_Y,UAV_Z,Boat_X,Boat_Y,Boat_Z,Dist_XY,Dist_Z,Rel_Speed,Rel_VZ,Wave_Z,Success,Reason
1.77486e+09,2.51811,17.5551,-0.156311,2.88324,17.2994,0.0213254,0.445773,0.177637,2.29531,0.142539,0.0213254,1,Touchdown_Success
1.77486e+09,2.88872,19.526,-0.347967,3.28539,19.7124,-0.0206436,0.438276,0.327323,2.51015,0.045748,-0.0206436,1,Touchdown_Success
1.77486e+09,3.08935,17.1954,-0.549861,2.80953,16.8572,-0.336982,0.438959,0.212879,1.57509,0.109847,-0.336982,1,Touchdown_Success
1.77486e+09,2.89588,17.6257,-0.452998,2.86607,17.1964,-0.271338,0.430329,0.18166,2.09629,0.839649,-0.271338,1,Touchdown_Success
1.77486e+09,2.29216,17.5169,0.0133808,2.87162,17.2297,0.291843,0.646736,0.278462,1.01275,0.287752,0.291843,0,Timeout_Fail
1.77486e+09,3.10817,17.9019,0.25628,2.91755,17.5053,0.345533,0.440045,0.0892526,1.75741,0.541637,0.345533,1,Touchdown_Success
1.77486e+09,3.18188,18.236,0.402614,3.0198,18.1188,0.411939,0.200049,0.00932479,2.94015,0.797754,0.411939,1,Touchdown_Success
1.77486e+09,2.98785,17.2674,-0.41983,2.8093,16.8558,-0.499248,0.448692,0.0794184,0.704878,0.591371,-0.499248,1,Touchdown_Success
1.77486e+09,3.45665,18.1518,-0.453737,3.05161,18.3097,-0.455535,0.434715,0.00179831,2.80812,0.131055,-0.455535,1,Touchdown_Success
1.77486e+09,3.73609,22.3118,-0.0939699,3.64723,21.8834,0.280721,0.437505,0.374691,2.06847,0.379832,0.280721,1,Touchdown_Success
1.77486e+09,3.11932,17.3414,-0.0069862,2.83279,16.9967,-0.0764837,0.448192,0.0694975,0.697832,0.332736,-0.0764837,1,Touchdown_Success
1.77486e+09,2.86034,17.1704,-0.604827,2.78846,16.7307,-0.348497,0.445472,0.25633,2.71456,0.169494,-0.348497,1,Touchdown_Success
1.77486e+09,2.97025,17.563,-2.3105,2.93806,17.6284,-0.227117,0.0728904,2.08338,1.85948,1.85049,-0.227117,0,Timeout_Fail
