Time,UAV_Plan_X,UAV_Plan_Y,UAV_Plan_Z,UAV_Plan_VX,UAV_Plan_VY,UAV_Plan_VZ
0,3.66766,0.00965769,0.0259668,2.4117,-0.0473897,0.153073
0.05,3.79322,0.00743944,0.0407366,2.6016,-0.0413455,0.433043
0.1,3.92677,0.00552136,0.0685455,2.7286,-0.035398,0.670636
0.15,4.06478,0.00389819,0.106908,2.77777,-0.0295366,0.855181
0.2,4.20306,0.00256739,0.153244,2.73829,-0.0236977,0.990533
0.25,4.33705,0.00152739,0.205212,2.60538,-0.0179261,1.0806
0.3,4.46209,0.000770157,0.260489,2.3819,-0.012437,1.12141
0.35,4.57391,0.000273147,0.316314,2.07951,-0.00758108,1.09974
0.4,4.66907,-4.56202e-06,0.369124,1.71947,-0.00371647,0.99791
0.45,4.7454,-0.000118641,0.414529,1.33168,-0.00105191,0.801862
0.5,4.80235,-0.000129342,0.447669,0.950228,0.000445657,0.507776
0.55,4.84103,-8.90694e-05,0.463835,0.604849,0.00104867,0.125874
0.6,4.86367,-3.2465e-05,0.459204,0.308318,0.0011709,-0.318691
